id,name,zipcode,categories,pickup,delivery,price_range,rating
Wslk06IopmoMSWEpS0DMCg,Lucid Café,10016,coffee & tea,0,1,$,4.5
43IJ3NqY_Dvq2gWHDPvFRQ,Culture An American Yogurt Company,10011,ice cream & frozen yogurt,1,1,$,4
6BC5LQI4Cg3KChkgigo9sA,Lo Duca Pizza,11226,pizza,0,1,$,4.5
PjISf4rkN5UO-lHLmrdZjQ,La Isla,11237,"latin american, puerto rican",1,1,$,4
5UR2nOXYZAakXAoHHoBqNg,7th Avenue Donuts,11215,"donuts, coffee & tea, breakfast & brunch",1,1,$,3.5
htoeGFLUzB37wQee7A2qRQ,The Halal Spot,11205,"halal, salad, sandwiches",1,1,$,4
RHz7OAoy5yMNWBcLArgLrQ,Sweets Bakery,10013,"bubble tea, bakeries",1,1,$,4
N51w2HM8ODZWyDKn9KcVvA,Kofte Piyaz,11232,turkish,1,1,$,4
MzSsxuBwJBlHmNFgEiOOeA,Have-A-Bagel,11211,"bagels, cafes",1,1,$,4
lEbj-aJWzSn0_f4310NZSw,Morris Grilled Cheese Truck,11238,"sandwiches, food trucks",0,0,$,4
1vkYZbdwMpqteI8x_sS68g,Fast and Fresh Burrito Deli,11201,"mexican, delis, sandwiches",1,1,$,4
3ahcwkc4fTd_4M05j1kKiQ,Pete's Candy Store,11211,"music venues, dive bars, pubs",0,1,$,4
1Ylu26XW3F6gSJWdFw6-8g,Great Burrito,10011,"pizza, mexican",1,1,$,4
QKiVXF-Y1IK_NkRfvtY4sQ,One Star,10011,bars,0,0,$,4.5
ntkrxOSYT5VtTL4Z5jmmeA,Ground Central,10022,"coffee & tea, salad, sandwiches",1,1,$,4
6NcU2JAznLr9dDHp6GgQyw,Doaba Deli,10025,"indian, pakistani, bangladeshi",1,1,$,4.5
iAiQP9RjAxv395tpjb8IUA,Westside Coffee Shop,10013,"coffee & tea, latin american, mexican",1,1,$,4
bmSYtYRPf6ycx-4xWhbHFg,Sey Coffee,11206,"coffee roasteries, coffee & tea",0,1,$,4.5
D6FIbzVVd0JjzGb4jxxaEQ,Beny's Delice,11238,"coffee & tea, bakeries, sandwiches",1,1,$,4
d0_AZqk2ZUO-i1j8ROYhmw,Prato Bakery,7302,"coffee & tea, bakeries, pizza, sandwiches",1,1,$,4.5
KfPqpZb7dCRlgao5fQXrcA,Sugar Hill Creamery,10026,"ice cream & frozen yogurt, coffee & tea, desserts",1,1,$,4.5
VfkRZSHloLeoHkYL9EmIbw,Squire's Diner,10038,diners,1,1,$,3.5
yV7brOiTLS3Lmwws8e3nXA,Dil-e Punjab Deli,10011,"indian, vegetarian",1,1,$,4.5
UytOpeDV0-5wIHhi987WgA,Beans and Leaves,10301,"coffee & tea, breakfast & brunch, cafes",1,1,$,4.5
#NAME?,Taqueria Santa Fe,11377,mexican,1,1,$,4.5
pqGGfA3Vm9srfTIJLgL0Ew,Mama's Noodle House,11204,"cantonese, szechuan, noodles",1,1,$,4.5
